indicator,type,"last_seen","first_seen",sensor,"ut_domain"
"http://195.58.39.206/Fourloko.sh",URL,"1672203802.116018","1672203680.953536",1,"195.58.39.206"
"http://195.58.39.207/Fourloko.sh",URL,"1672689828.670628","1672479304.792422",1,"195.58.39.207"
"http://2.56.59.225/nig.sh",URL,"1655852842.495726","1655656828.970506",3,"2.56.59.225"
"http://2.58.149.116/c",URL,"1656065395.926727","1655413491.093625",3,"2.58.149.116"
"http://2.58.149.116/ssh/f",URL,"1656193810.629313","1656193602.273398",3,"2.58.149.116"
"http://2.58.149.116/ssh/x86",URL,"1656284181.231930","1656118428.673775",3,"2.58.149.116"
"http://2.58.149.116/w",URL,"1656065395.926727","1655413491.093625",3,"2.58.149.116"
"http://2.58.149.116/x86",URL,"1656117326.656105","1655413495.382649",3,"2.58.149.116"
"http://20.196.219.107/huh.sh",URL,"1657284622.921247","1657131052.459677",2,"20.196.219.107"
"http://203.23.128.66:5214/linux_386",URL,"1674403359.204486","1674403359.204486",1,"203.23.128.66"
"http://204.76.203.168/5311qjmikurawepedalnqmashrabotatuk61119123c/infn.x86",URL,"1659221042.491524","1659144234.785281",1,"204.76.203.168"
"http://205.185.115.101/bins.sh",URL,"1660258592.427921","1660258592.427921",1,"205.185.115.101"
"http://205.185.116.78/linux.tar.gz",URL,"1609311459.876265","1609311459.876265",1,"205.185.116.78"
"http://208.115.245.158/c",URL,"1649675836.430346","1649658088.786628",2,"208.115.245.158"
"http://208.123.209.58/sh",URL,"1610174464.883370","1610174464.883370",1,"208.123.209.58"
"http://208.67.104.31/ssh.sh",URL,"1662298039.197682","1662039167.247927",2,"208.67.104.31"
"http://208.67.104.67/Fourloko.sh",URL,"1659936688.077695","1659932787.072918",1,"208.67.104.67"
"http://208.67.106.110/spookybins.sh",URL,"1659862570.191617","1659862540.880625",1,"208.67.106.110"
"http://209.141.45.18/x86_64",URL,"1658854631.114815","1658778206.726593",2,"209.141.45.18"
"http://209.141.53.113:9999/download.sh",URL,"1666128375.834695","1666033639.850351",1,"209.141.53.113"
"http://209.141.53.113:9999/linux_mipsel_softfloat",URL,"1666035775.462583","1666035775.462583",1,"209.141.53.113"
"http://212.192.241.125/pedalcheta/cutie.x86_64",URL,"1657898805.851372","1656989943.901703",3,"212.192.241.125"
"http://212.192.241.97/bins/hahahaha.sh",URL,"1649895900.997697","1649874002.781115",2,"212.192.241.97"
"http://222.100.89.36/stx.sh",URL,"1655706462.231032","1644150412.189814",1,"222.100.89.36"
"http://23.235.171.196:1211/112",URL,"1687803223.345734","1681368343.811761",1,"23.235.171.196"
"http://23.254.247.214/Heisenbergbins.sh",URL,"1662034853.974810","1662034529.129239",1,"23.254.247.214"
"http://3.90.219.71/Dynabins.sh",URL,"1668187270.064237","1668181292.960123",1,"3.90.219.71"
